id,title,artist,genre,mood,spotify_id,energy,tempo_bpm,valence,danceability,acousticness
1,Clair de Lune,Claude Debussy;Alice Sara Ott,classical,relaxed,03EPzqTSIyOUc5YkXFmCjF,0.32,68.947,0.00501,0.0618,0.993
2,Fuer Elise,Ludwig van Beethoven;Anatol Ugorski,classical,relaxed,2SNcSWDurvPuyfRveaJ9Qv,0.323,124.998,0.0146,0.0692,0.995
3,Gymnopedie No. 1,Erik Satie;Philippe Entremont,classical,relaxed,5NGtFXVpXSvwunEIGeviY3,0.468,72.776,0.0127,0.094,0.994
4,Gymnopedie No. 1,Erik Satie;Anne Queffelec,classical,relaxed,6Paa21xzskYSJgTLaEZyPX,0.461,84.3,0.00214,0.0818,0.996
5,Moonlight Sonata,Ludwig van Beethoven;Luke Woodapple,classical,relaxed,7xfSCgVOkQJhVxnqzepATH,0.216,178.876,0.199,0.095,0.991
6,Prelude in C Major,Johann Sebastian Bach;Lang Lang,classical,relaxed,4SFBV7SRNG2e2kyL1F6kjU,0.221,133.63,0.126,0.102,0.989
7,Clair de Lune,Claude Debussy;Martin Jones,classical,relaxed,5u5aVJKjSMJr4zesMPz7bL,0.335,65.832,0.00532,0.0621,0.994
8,The Four Seasons: Winter 1,Antonio Vivaldi;Adrian Chandler;La Serenissima,classical,chill,0ROMalDdNg3L2HoZP4qFyJ,0.4,162.078,0.247,0.119,0.818
9,Swan Lake,Pyotr Ilyich Tchaikovsky;Andre Previn;London Symphony Orchestra,classical,chill,2xizRhme7pYeITbH1NLLGt,0.136,58.303,0.164,0.109,0.911
10,Canon in D,Benny Martin;The Wong Janice,classical,relaxed,6H3zH7j2izbhiKwq7yQTJa,0.165,181.416,0.171,0.125,0.983
